Function,FunctionName,FunctionType,Algorithm,Dimension,FMin,Best,MeanBest,StdBest,Accuracy,Precision,SearchSpeed,SearchAcceleration,MeanTimeSeconds
f1,Sphere,Unimodal,QPSO-LR,30,0,19936.458145033,40868.0639548174,6836.92263804507,40868.0639548174,0.167292550134104,66.0393837562621,80.2318238614093,0.116111153333333
f1,Sphere,Unimodal,QPSO-RM,30,0,991.56438866208,3177.17608068494,1222.49612194968,3177.17608068494,0.38477443204411,259.320244817667,137.328306250883,0.142483883333333
f1,Sphere,Unimodal,QPSO-CS,30,0,0.00459194911647536,0.0653420947832861,0.0528884178665936,0.0653420947832861,0.809408055282029,334.233738387943,90.0420286227648,0.170658073333333
f2,Schwefel No. 2.22,Unimodal,QPSO-LR,30,0,68.8871376216825,53044.1285446261,176956.711368467,53044.1285446261,3.33602825088535,1243395435.37177,941033174.052416,0.121498383333333
f2,Schwefel No. 2.22,Unimodal,QPSO-RM,30,0,9.04466658651196,16.5082719464665,4.81660474879503,16.5082719464665,0.291769166658658,231954680.563659,225775808.781992,0.147072356666667
f2,Schwefel No. 2.22,Unimodal,QPSO-CS,30,0,0.0025068599878835,0.00789752435919781,0.00585393141298595,0.00789752435919781,0.741236259204214,135573052.278267,135374415.061455,0.183654873333333
f10,Rastrigin,Multimodal,QPSO-LR,30,0,329.261323008318,361.473676815871,14.8740156418236,361.473676815871,0.0411482677600343,0.235857161883915,0.21933730135708,0.157371523333333
f10,Rastrigin,Multimodal,QPSO-RM,30,0,218.556516273688,251.687927278584,18.581341050546,251.687927278584,0.0738269064053239,0.728486568492623,0.464387124520554,0.18398547
f10,Rastrigin,Multimodal,QPSO-CS,30,0,162.617757164465,193.261369964609,17.749064808794,193.261369964609,0.0918396925989103,0.834875448029664,0.472804010559272,0.208858553333333
f19,Branin RCOS No. 1,FixedMultimodal,QPSO-LR,2,0.398,0.397892506578287,0.39894536391669,0.00142908691609702,0.000945363916690034,0.00358216198345257,0.0108990617481783,0.00732179050428777,0.0963430966666667
f19,Branin RCOS No. 1,FixedMultimodal,QPSO-RM,2,0.398,0.397887357729738,0.397932445822074,8.66702624653792e-05,6.7554177926088e-05,0.000217801446892148,0.0143765781566372,0.0110417314646437,0.0996149733333333
f19,Branin RCOS No. 1,FixedMultimodal,QPSO-CS,2,0.398,0.397887357729738,0.397896895657265,3.91695986933682e-05,0.000103104342734861,9.84415790142468e-05,0.0103805722084801,0.00491175792387438,0.11043801
